customer_id,customer_name,segment,country,city,state,postal_code,region,last_updated
GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,2024-01-01
JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,2024-01-01
KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,2024-01-01
RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,2024-01-01
PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,2024-01-01
KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,2024-01-01
ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,2024-01-01
RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,2024-01-01
GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,2024-01-01
LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,2024-01-01
JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,2024-01-01
PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,2024-01-01
CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,2024-01-01
CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,2024-01-01
RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,2024-01-01
DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,2024-01-01
GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,2024-01-01
SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,2024-01-01
AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,2024-01-01
PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,2024-01-01
TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,2024-01-01
LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,2024-01-01
DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,2024-01-01
LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,2024-01-01
JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,2024-01-01
SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,2024-01-01
SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,2024-01-01
HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,2024-01-01
MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,2024-01-01
JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,2024-01-01
TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,2024-01-01
SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,2024-01-01
NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,2024-01-01
DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,2024-01-01
NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,2024-01-01
TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,2024-01-01
EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,2024-01-01
RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West,2024-01-01
MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West,2024-01-01
BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,2024-01-01
CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,2024-01-01
JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,2024-01-01
SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,2024-01-01
JK-15640,Jim Kriz,Home Office,United States,New York City,New York,10009,East,2024-01-01
DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,2024-01-01
RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,2024-01-01
SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East,2024-01-01
FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,90032,West,2024-01-01
AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central,2024-01-01
MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,2024-01-01
MZ-17515,Mary Zewe,Corporate,United States,Redlands,California,92374,West,2024-01-01
CB-12025,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,45011,East,2024-01-01
VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East,2024-01-01
FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,2024-01-01
MB-17305,Maria Bertelson,Consumer,United States,Akron,Ohio,44312,East,2024-01-01
BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219,West,2024-01-01
LC-17140,Logan Currie,Consumer,United States,Dallas,Texas,75220,Central,2024-01-01
HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,37064,South,2024-01-01
LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,90604,West,2024-01-01
JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,2024-01-01
MS-17980,Michael Stewart,Corporate,United States,Dallas,Texas,75220,Central,2024-01-01
VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,2024-01-01
JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,90032,West,2024-01-01
JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,2024-01-01
DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,Central,2024-01-01
VD-21670,Valerie Dominguez,Consumer,United States,Columbia,Tennessee,38401,South,2024-01-01
EA-14035,Erin Ashbrook,Corporate,United States,Charlotte,North Carolina,28205,South,2024-01-01
DB-13120,David Bremer,Corporate,United States,Santa Clara,California,95051,West,2024-01-01
KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,Central,2024-01-01
DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,2024-01-01
LH-17155,Logan Haushalter,Consumer,United States,San Francisco,California,94109,West,2024-01-01
KC-16540,Kelly Collister,Consumer,United States,San Diego,California,92037,West,2024-01-01
DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10024,East,2024-01-01
DR-12880,Dan Reichenbach,Corporate,United States,Chicago,Illinois,60623,Central,2024-01-01
CC-12670,Craig Carreira,Consumer,United States,New York City,New York,10009,East,2024-01-01
Dl-13600,Dorris liebe,Corporate,United States,Pasadena,Texas,77506,Central,2024-01-01
SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036,Central,2024-01-01
RC-19825,Roy Collins,Consumer,United States,Chicago,Illinois,60610,Central,2024-01-01
AH-10210,Alan Hwang,Consumer,United States,Brentwood,California,94513,West,2024-01-01
CB-12535,Claudia Bergmann,Corporate,United States,Chapel Hill,North Carolina,27514,South,2024-01-01
CA-12310,Christine Abelman,Corporate,United States,Cincinnati,Ohio,45231,East,2024-01-01
KH-16690,Kristen Hastings,Corporate,United States,San Francisco,California,94110,West,2024-01-01
BB-10990,Barry Blumstein,Corporate,United States,Inglewood,California,90301,West,2024-01-01
AG-10495,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,19140,East,2024-01-01
JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90004,West,2024-01-01
AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319,South,2024-01-01
NZ-18565,Nick Zandusky,Home Office,United States,Columbus,Ohio,43229,East,2024-01-01
KL-16555,Kelly Lampkin,Corporate,United States,Colorado Springs,Colorado,80906,West,2024-01-01
AS-10225,Alan Schoenberger,Corporate,United States,New York City,New York,10024,East,2024-01-01
CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701,East,2024-01-01
SH-20395,Shahid Hopkins,Consumer,United States,Arlington,Virginia,22204,South,2024-01-01
BP-11185,Ben Peterman,Corporate,United States,Arvada,Colorado,80004,West,2024-01-01
TS-21205,Thomas Seio,Corporate,United States,Hackensack,New Jersey,7601,East,2024-01-01
AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,Florida,33710,South,2024-01-01
SP-20860,Sung Pak,Corporate,United States,Philadelphia,Pennsylvania,19143,East,2024-01-01
NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024,East,2024-01-01
FA-14230,Frank Atkinson,Corporate,United States,Long Beach,California,90805,West,2024-01-01
GK-14620,Grace Kelly,Corporate,United States,Hesperia,California,92345,West,2024-01-01
DJ-13510,Don Jones,Corporate,United States,Murfreesboro,Tennessee,37130,South,2024-01-01
PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143,East,2024-01-01
JL-15850,John Lucas,Consumer,United States,Philadelphia,Pennsylvania,19134,East,2024-01-01
DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045,West,2024-01-01
AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122,West,2024-01-01
CC-12550,Clay Cheatham,Consumer,United States,San Francisco,California,94122,West,2024-01-01
TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852,East,2024-01-01
AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,2024-01-01
JL-15505,Jeremy Lonsdale,Consumer,United States,New York City,New York,10035,East,2024-01-01
VB-21745,Victoria Brennan,Corporate,United States,Columbus,Georgia,31907,South,2024-01-01
KW-16435,Katrina Willman,Consumer,United States,New York City,New York,10009,East,2024-01-01
JD-16060,Julia Dunbar,Consumer,United States,San Francisco,California,94109,West,2024-01-01
MK-17905,Michael Kennedy,Corporate,United States,Manchester,Connecticut,6040,East,2024-01-01
ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,2024-01-01
